PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_justBody_Motion_2_2-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      5046	9	mm	100.00	1	      5046
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

65	0.640	-274.33646	21.79376	-182.75456	224.09569	22.15877	-222.25951	-228.03122	22.31791	412.18808	275.44937	28.02080	377.99521	-17.97018	813.61859	-339.12820	-98.67924	553.74780	-307.10214	56.97005	559.15302	-317.09778	-53.45849	577.60120	574.64722	94.39825	578.92938	568.04260	
66	0.650	-274.31412	21.75994	-182.78438	224.23842	22.26442	-222.20001	-228.07338	22.23868	412.13562	275.40195	27.97046	377.96957	-18.08566	813.26770	-339.20215	-98.73883	553.50311	-307.16589	56.92002	558.87592	-317.22470	-53.43683	577.50238	574.56348	94.39188	578.81976	567.90820	
67	0.660	-274.37277	21.79584	-182.76152	224.14699	22.13434	-222.25198	-228.06029	22.32886	412.12909	275.46796	27.95450	377.97470	-18.07973	812.99817	-339.24664	-99.25796	553.62817	-307.81653	56.91558	558.76819	-317.21573	-53.12461	577.15082	574.32324	94.57908	578.72162	567.86835	
68	0.670	-274.40289	21.83515	-182.73125	224.30177	22.23991	-222.15459	-228.11928	22.38038	412.16013	275.41721	28.02019	378.02026	-18.40416	812.67188	-339.42886	-98.87797	553.17615	-307.26089	56.65417	558.49670	-317.22888	-53.05444	577.10400	574.28650	94.69376	578.50928	567.82983	
69	0.680	-274.39828	21.87657	-182.71660	224.28806	22.27553	-222.14394	-228.09410	22.33254	412.20395	275.51392	27.98979	378.04224	-18.52537	812.42065	-339.53802	-98.99888	553.02612	-307.35648	56.62030	558.30164	-317.22183	-52.91135	576.96942	574.24902	94.87063	578.23187	567.81165	
70	0.690	-274.35995	21.89224	-182.69745	224.31792	22.28456	-222.13373	-228.09259	22.21062	412.22916	275.35608	27.95471	378.03006	-18.45981	812.32147	-339.49591	-99.11949	552.86975	-307.28003	56.51953	558.17401	-317.24777	-52.99424	576.76465	574.25684	94.94816	578.03131	567.82556	
71	0.700	-274.35843	21.80752	-182.72510	224.27122	22.23885	-222.17250	-228.09332	22.19477	412.21814	275.50702	27.92385	378.08820	-18.48412	812.19080	-339.42874	-99.18597	552.61621	-307.27026	56.46575	558.01855	-317.26767	-52.91992	576.50128	574.29193	95.00018	577.84619	567.79651	
72	0.710	-274.39804	21.82498	-182.72186	224.10304	22.14108	-222.26787	-228.06628	22.20759	412.22415	275.41553	27.97795	378.15305	-18.60920	812.15576	-339.38516	-99.24589	552.50116	-307.20724	55.93110	557.94031	-317.31952	-52.97060	576.25397	574.34375	94.96015	577.58392	567.66309	
73	0.720	-274.41104	21.87279	-182.71118	224.07233	22.13387	-222.27773	-228.05453	22.26954	412.21542	275.49188	27.99046	378.12149	-18.60100	812.12415	-339.36261	-99.33662	552.46783	-307.24332	56.34872	557.93091	-317.31793	-52.73806	575.89966	574.36877	94.92618	577.38715	567.49719	
74	0.730	-274.44897	21.92931	-182.67955	224.28545	22.29344	-222.14243	-228.13062	22.39723	412.31708	275.41733	28.06164	378.08893	-18.73539	812.18359	-339.30533	-99.47491	552.47015	-307.23325	55.79911	557.88501	-317.38922	-52.71698	575.57739	574.37140	94.96160	577.09363	567.46631	
75	0.740	-274.43018	21.89507	-182.64191	224.24791	22.29506	-222.17049	-228.07333	22.33115	412.34918	275.51385	27.97041	378.17557	-18.89457	812.13715	-339.20380	-99.61829	552.45087	-307.21820	55.66451	557.93262	-317.47305	-53.07404	575.34875	574.47314	95.69297	576.82990	568.11743	
76	0.750	-274.44211	21.86688	-182.66888	224.23531	22.27943	-222.16498	-228.01187	22.25428	412.34155	275.38043	27.93045	378.23758	-18.94417	812.23633	-339.14633	-99.83265	552.44727	-307.20557	55.58095	557.87347	-317.55859	-52.90323	575.03027	574.45392	95.49967	576.32367	567.50214	
77	0.760	-274.36472	21.86084	-182.66112	224.03459	22.15207	-222.29326	-228.06534	22.27633	412.38281	275.35114	27.81703	378.20248	-19.16727	812.23608	-339.11987	-99.99331	552.44702	-307.27029	55.43371	557.84485	-317.70819	-52.82619	574.78967	574.50671	95.57275	575.73987	567.40918	
78	0.770	-274.32242	21.84633	-182.67622	224.22340	22.28733	-222.16574	-227.97884	22.20775	412.46088	275.42377	27.83000	378.25076	-19.24644	812.23560	-339.11743	-100.12208	552.41425	-307.33929	55.38513	557.79944	-317.72458	-52.47319	574.25922	574.59027	95.64366	575.31293	567.31262	
79	0.780	-274.33441	21.91521	-182.64030	224.24533	22.28321	-222.18135	-228.03061	22.28130	412.49359	275.47379	27.85885	378.21567	-19.42363	812.24756	-339.11261	-100.23053	552.39404	-307.37357	55.25039	557.79901	-317.81979	-52.65411	573.86530	574.42657	95.72242	574.90759	567.18872	
80	0.790	-274.35522	21.87647	-182.61549	224.18118	22.26485	-222.21588	-228.14555	22.36173	412.53384	275.45001	27.82298	378.36612	-19.64934	812.25317	-339.08469	-100.35107	552.35120	-307.41330	55.56493	557.71613	-317.90872	-52.08765	573.24414	574.38519	95.85163	574.66309	567.21991	
