Time,postX,postY,postZ,wristX,wristY,wristZ
1.33,35.521595,1284.2177,986.75549,130.23577,1186.3288,370.69312
1.34,35.434225,1284.2095,986.76877,130.21852,1186.2921,370.70261
1.35,35.476235,1284.1899,986.78222,130.23612,1186.2912,370.69119
1.36,35.454965,1284.1619,986.80375,130.24383,1186.2794,370.693
1.37,35.537105,1284.161,986.87184,130.26445,1186.2836,370.73392
1.38,35.464315,1284.1526,986.79552,130.23453,1186.3092,370.70241
1.39,35.447945,1284.2571,986.76128,130.19665,1186.2892,370.65534
1.4,35.487195,1284.1806,986.74323,130.19917,1186.3137,370.65647
1.41,35.438395,1284.1825,986.79105,130.27001,1186.2742,370.67474
1.42,35.457695,1284.1457,986.79287,130.26049,1186.2855,370.70833
1.43,35.423935,1284.1659,986.86172,130.22333,1186.2906,370.72068
1.44,35.440345,1284.1953,986.80367,130.22764,1186.3117,370.72969
1.45,35.462565,1284.1774,986.85254,130.21865,1186.3073,370.74129
1.46,35.465505,1284.2204,986.74176,130.23666,1186.3289,370.6531
1.47,35.471855,1284.1497,986.80842,130.26516,1186.2897,370.71707
1.48,35.429375,1284.1937,986.76861,130.20034,1186.2824,370.70579
1.49,35.462815,1284.2286,986.76657,130.24288,1186.2987,370.68603
1.5,35.494915,1284.1679,986.87583,130.22313,1186.2825,370.71442
1.51,35.367625,1284.1811,986.80209,130.20148,1186.2822,370.659
1.52,35.509375,1284.164,986.80653,130.25499,1186.2603,370.73221
1.53,35.420395,1284.1222,986.81709,130.22637,1186.2546,370.76036
1.54,35.393385,1284.1632,986.80617,130.21716,1186.2903,370.69558
1.55,35.460625,1284.2074,986.83264,130.1769,1186.3003,370.72231
1.56,35.455395,1284.1662,986.88699,130.19023,1186.295,370.77169
1.57,35.433995,1284.2255,986.73815,130.2632,1186.3237,370.65545
1.58,35.441525,1284.2299,986.73341,130.18746,1186.3013,370.6199
1.59,35.465415,1284.1672,986.80082,130.2392,1186.2834,370.69399
1.6,35.503425,1284.2185,986.80725,130.22778,1186.2863,370.70054
1.61,35.392215,1284.2085,986.78974,130.24111,1186.3175,370.66782
1.62,35.396145,1284.1872,986.73374,130.23134,1186.323,370.65735
1.63,35.494935,1284.2096,986.74783,130.24436,1186.3095,370.67761
1.64,35.500145,1284.1947,986.80139,130.18295,1186.2842,370.69177
1.65,35.490005,1284.198,986.76933,130.26132,1186.3202,370.69343
1.66,35.408485,1284.1898,986.7706,130.22287,1186.2787,370.69642
1.67,35.453405,1284.2146,986.80745,130.21511,1186.2824,370.66605
1.68,35.499795,1284.1691,986.8484,130.24354,1186.2709,370.72159
1.69,35.436105,1284.1973,986.83276,130.20477,1186.3045,370.6683
1.7,35.411415,1284.1961,986.82461,130.21394,1186.2986,370.67941
1.71,35.412115,1284.209,986.76604,130.2109,1186.3217,370.68201
1.72,35.422035,1284.1812,986.79937,130.24511,1186.2922,370.71131
1.73,35.424425,1284.165,986.80054,130.28438,1186.2726,370.73812
1.74,35.478435,1284.1948,986.80214,130.19391,1186.296,370.67344
1.75,35.417635,1284.1971,986.82067,130.22222,1186.2793,370.69787
1.76,35.418065,1284.1938,986.82117,130.23612,1186.29,370.68708
1.77,35.474045,1284.1929,986.89489,130.21128,1186.2793,370.71207
1.78,35.481295,1284.1956,986.801,130.24831,1186.2998,370.68377
1.79,35.411925,1284.1989,986.85239,130.24639,1186.2999,370.74619
1.8,35.418205,1284.2138,986.8003,130.22514,1186.3012,370.6847
1.81,35.425665,1284.2062,986.86692,130.25262,1186.276,370.75452
1.82,35.441615,1284.1947,986.83401,130.18142,1186.2932,370.6935
1.83,35.474265,1284.2007,986.87793,130.24896,1186.2876,370.7615
1.84,35.440795,1284.1968,986.82544,130.25951,1186.2968,370.70886
1.85,35.437995,1284.2067,986.85897,130.2302,1186.294,370.70144
1.86,35.468175,1284.2013,986.86032,130.19613,1186.3146,370.71868
1.87,35.358785,1284.1783,986.79271,130.23161,1186.2818,370.73081
1.88,35.384695,1284.1803,986.79764,130.24856,1186.3071,370.68963
1.89,35.471845,1284.2112,986.75641,130.21925,1186.2934,370.6535
1.9,35.422335,1284.187,986.77982,130.22385,1186.2967,370.6756
1.91,35.445535,1284.2748,986.76002,130.20358,1186.3098,370.61414
1.92,35.454525,1284.2101,986.80813,130.18438,1186.2704,370.70398
1.93,35.389045,1284.2562,986.71199,130.22051,1186.3335,370.60639
1.94,35.433215,1284.1593,986.88582,130.2423,1186.285,370.73015
