Time,postX,postY,postZ,wristX,wristY,wristZ
1.14,6.69265,1297.0916,976.51504,-69.54511,1169.4781,162.7241
1.15,6.73597,1297.1163,976.39681,-68.78063,1169.4397,160.90316
1.16,6.57155,1297.0578,976.32227,-67.83297,1169.3585,159.47973
1.17,6.51748,1296.9947,976.37231,-66.63887,1169.4506,158.20423
1.18,6.53878,1297.0956,976.46781,-65.27987,1169.8338,156.55994
1.19,6.63338,1297.1221,976.54423,-63.98498,1170.2193,154.80609
1.2,6.61771,1297.0111,976.72692,-62.45954,1170.5895,153.29094
1.21,6.64261,1296.9324,976.85684,-61.0734,1171.3596,151.80523
1.22,6.59304,1296.9537,976.99355,-59.90118,1172.4017,150.3253
1.23,6.7438,1297.1137,976.92243,-58.24204,1174.1078,149.27722
1.24,6.5227,1297.1071,976.77316,-56.32325,1175.9835,147.23794
1.25,6.51375,1296.9889,976.66583,-53.89539,1177.6451,145.01007
1.26,6.49567,1296.9256,976.4698,-51.72879,1178.7128,142.65638
1.27,6.56463,1296.9265,976.49218,-49.98501,1179.2027,140.87527
1.28,6.53219,1296.9883,976.46736,-48.85336,1179.2792,139.96721
1.29,6.5492,1296.9667,976.65125,-48.00634,1179.3941,139.50599
1.3,6.57295,1297.167,976.3483,-48.10428,1179.3637,138.56555
1.31,6.53893,1297.5255,975.95369,-48.17284,1179.3432,137.4325
1.32,6.59361,1297.0612,976.59755,-48.30664,1179.1766,137.43479
1.33,6.64993,1297.0886,976.79487,-48.04615,1179.0022,137.33919
1.34,6.66522,1297.175,976.72075,-47.61282,1178.6839,137.41232
1.35,6.65154,1297.2048,976.55909,-47.22515,1178.4521,137.44257
1.36,6.53106,1297.0636,976.42211,-46.66514,1178.1757,137.23036
1.37,6.50264,1297.0654,976.27309,-46.41688,1177.9848,137.10026
1.38,6.46298,1297.038,976.31539,-46.42162,1177.8913,136.48573
1.39,6.62248,1297.1366,976.49566,-46.58775,1177.9025,135.73814
1.4,6.79807,1297.141,976.7832,-47.32973,1178.4683,135.42125
1.41,6.69382,1297.1836,976.84852,-47.94159,1178.473,135.37672
1.42,6.64606,1297.1103,976.78687,-48.30676,1178.4359,135.18522
1.43,6.63611,1297.0746,976.61179,-48.60296,1178.3266,134.94751
1.44,6.62205,1297.1001,976.52314,-48.83031,1178.1855,134.64578
1.45,6.57911,1297.2096,976.33486,-48.87765,1178.3858,134.06559
1.46,6.54088,1296.9233,976.58539,-49.2111,1178.2839,133.84899
1.47,6.61562,1296.9362,976.51704,-49.67179,1178.2582,133.38809
