Time,postX,postY,postZ,wristX,wristY,wristZ
1.32,35.363742,1284.1416,986.71205,137.74011,1194.1913,374.96632
1.33,35.373032,1284.1952,986.68902,137.6885,1194.2183,374.89545
1.34,35.359882,1284.1805,986.69293,137.65887,1194.1976,374.87941
1.35,35.365812,1284.2229,986.64817,137.60958,1194.1828,374.88736
1.36,35.423642,1284.1881,986.67833,137.70646,1194.1293,374.93766
1.37,35.443572,1284.1497,986.68955,137.67585,1194.1243,374.9807
1.38,35.385462,1284.2138,986.66222,137.65342,1194.1556,374.9092
1.39,35.379392,1284.2269,986.69843,137.69255,1194.2282,374.96853
1.4,35.378582,1284.3565,986.58371,137.61181,1194.1921,374.82284
1.41,35.373732,1284.1943,986.71776,137.7036,1194.1738,374.94849
1.42,35.315532,1284.1686,986.68426,137.72577,1194.0871,374.90403
1.43,35.389732,1284.1569,986.71184,137.75197,1194.1938,374.90007
1.44,35.393852,1284.221,986.66068,137.64836,1194.1168,374.92041
1.45,35.335502,1284.2604,986.65753,137.63544,1194.1471,374.97086
1.46,35.324472,1284.2391,986.65551,137.68115,1194.1323,374.86478
1.47,35.381802,1284.218,986.69846,137.67412,1194.138,374.91618
1.48,35.377232,1284.3211,986.55733,137.6669,1194.1279,374.74652
1.49,35.415612,1284.4223,986.42594,137.46022,1194.0311,374.45342
1.5,35.391352,1284.3528,986.47404,137.03276,1193.6979,373.78548
1.51,35.490462,1284.2489,986.50153,137.00513,1193.0246,373.91256
1.52,35.389402,1284.3205,986.48218,136.60533,1191.8219,372.98303
1.53,35.362582,1284.2457,986.57239,136.22395,1190.6839,372.46078
1.54,35.397482,1284.1989,986.66598,136.37809,1189.251,372.13969
1.55,35.394202,1284.2733,986.69196,136.42804,1188.0098,371.15285
1.56,35.368612,1284.2821,986.69495,136.19917,1186.4604,369.97861
1.57,35.391512,1284.2418,986.66861,136.58071,1185.3149,368.95151
1.58,35.389592,1284.2306,986.64516,136.2574,1183.7152,367.71535
1.59,35.398882,1284.2139,986.60203,135.9654,1182.8826,367.37116
1.6,35.369922,1284.306,986.43827,135.47594,1181.2859,366.27929
1.61,35.430312,1284.3146,986.40208,135.32517,1179.6953,365.41449
1.62,35.429022,1284.2502,986.39545,135.03889,1178.0122,364.73938
1.63,35.423712,1284.2868,986.46326,135.43417,1176.3124,363.78106
1.64,35.384972,1284.2688,986.5845,135.73249,1174.977,362.64942
1.65,35.409992,1284.3357,986.58789,136.09341,1173.4147,361.55238
1.66,35.464302,1284.3391,986.61238,136.51668,1172.2046,360.75253
1.67,35.392672,1284.2678,986.70244,136.61396,1170.6967,360.37036
1.68,35.350552,1284.2637,986.55465,136.85859,1169.2541,359.58747
1.69,35.335882,1284.2136,986.54656,137.06899,1168.0232,359.11008
1.7,35.488512,1284.3303,986.39927,137.2203,1166.7211,358.46139
1.71,35.450022,1284.3296,986.37317,137.7971,1165.5724,357.77186
1.72,35.423662,1284.2568,986.43033,138.36461,1164.8609,357.17477
1.73,35.413052,1284.2285,986.43815,138.70486,1163.682,356.34314
1.74,35.387012,1284.2159,986.59338,139.48933,1162.9401,355.76592
1.75,35.372542,1284.2341,986.68491,139.78534,1162.2693,355.37244
1.76,35.413522,1284.3629,986.61838,139.99953,1161.5198,354.88592
1.77,35.372862,1284.327,986.64925,140.09637,1161.0812,354.62818
1.78,35.330412,1284.2452,986.62865,140.44115,1160.6108,353.98064
1.79,35.398122,1284.2622,986.56117,140.53651,1160.3405,353.26574
1.8,35.402322,1284.2894,986.46942,140.65353,1160.3669,352.73985
1.81,35.455392,1284.2478,986.5405,141.30189,1160.4252,352.07981
1.82,35.386742,1284.2807,986.54914,141.91273,1160.4393,351.48133
1.83,35.373962,1284.2029,986.6279,142.60274,1160.6945,351.01365
1.84,35.360702,1284.1189,986.79105,143.03638,1161.0488,350.7065
1.85,35.381582,1284.0669,986.90383,144.07336,1162.1542,350.38751
1.86,35.382802,1284.1914,986.79436,145.00666,1164.0412,349.96682
1.87,35.420102,1284.7132,985.98895,145.85895,1165.3876,348.73316
1.88,35.325302,1284.2809,986.58998,146.88605,1166.1943,347.96242
1.89,35.269092,1284.0739,986.7988,147.55177,1166.7932,346.30672
1.9,35.452402,1284.0426,986.78435,148.04311,1167.2419,345.62289
1.91,35.366682,1284.138,986.75258,148.49939,1167.4354,345.04238
1.92,35.380022,1284.2728,986.61616,148.52576,1167.4952,344.73041
1.93,35.315272,1284.135,986.7718,148.442,1167.5328,344.63448
1.94,35.337782,1284.1229,986.85961,148.28728,1167.6587,344.38099
1.95,35.362112,1284.1573,986.8874,148.27411,1167.8001,344.43923
1.96,35.389802,1284.1901,986.88653,148.38017,1168.0576,344.46392
1.97,35.432912,1284.1909,986.81873,148.56019,1168.0703,344.65285
1.98,35.467432,1283.7132,987.23669,148.32277,1167.6359,345.21422
1.99,35.480992,1284.1601,986.38411,148.21754,1167.294,344.99158
2,35.393292,1283.9808,986.52945,147.93865,1166.9011,345.4166
2.01,35.451162,1284.0267,986.70627,147.34668,1166.8816,345.49193
2.02,35.436892,1284.2062,986.77426,147.03835,1167.2856,345.37173
2.03,35.415252,1284.2394,986.93104,147.05016,1167.544,345.50394
2.04,35.398432,1284.2224,986.98856,146.91191,1167.531,345.44099
2.05,35.383452,1284.1425,987.00602,146.93796,1167.4355,345.50835
2.06,35.367782,1284.1018,987.02238,146.84325,1167.0756,345.51274
2.07,35.350212,1284.212,986.81318,146.67335,1166.9727,345.38533
2.08,35.403752,1284.2285,986.71738,146.60038,1167.0464,345.61899
2.09,35.477602,1284.1701,986.55839,146.52885,1166.9901,345.61997
2.1,35.445282,1284.0447,986.43375,146.41793,1166.6709,345.68492
2.11,35.490962,1284.0413,986.48752,146.33226,1166.499,345.7212
2.12,35.471352,1284.1584,986.58845,146.05871,1166.4373,345.64309
2.13,35.402882,1284.1443,986.83218,145.82051,1166.5203,345.7786
2.14,35.436482,1284.2169,986.97611,145.73789,1166.6253,345.78171
2.15,35.411392,1284.2147,986.97856,145.7528,1166.5876,345.77355
2.16,35.355472,1284.1238,986.86846,145.84537,1166.4829,345.58568
2.17,35.340652,1284.1539,986.81434,145.93866,1166.416,345.39532
2.18,35.345202,1284.1503,986.80288,145.81445,1166.4946,345.19907
2.19,35.400182,1284.1612,986.79705,145.59507,1166.5738,345.11416
2.2,35.393322,1284.0795,986.75215,145.43288,1166.7643,345.26271
2.21,35.360302,1284.0286,986.7761,145.2779,1166.8103,345.34011
2.22,35.413272,1284.0683,986.62422,144.94627,1167.1497,345.12621
2.23,35.383502,1284.1375,986.67939,144.48835,1168.0584,345.01231
2.24,35.361012,1284.278,986.6791,143.65622,1169.5593,344.43204
2.25,35.530242,1284.4913,986.43156,142.9185,1170.9935,344.45059
2.26,35.413612,1284.4534,986.34082,142.43128,1171.9539,344.34094
2.27,35.241752,1284.074,986.75543,142.5952,1172.219,344.82332
2.28,35.462382,1284.2983,986.33202,143.09585,1172.3736,344.14454
2.29,35.581822,1284.3909,986.18707,143.12931,1172.6558,343.86105
2.3,35.544592,1284.29,986.29797,143.19215,1173.1576,343.69671
2.31,35.460122,1284.2504,986.35404,143.11282,1173.4269,343.38208
2.32,35.464022,1284.2372,986.38026,143.23576,1173.37,342.78935
2.33,35.453132,1284.1752,986.5479,143.3662,1173.2497,342.20862
2.34,35.412092,1284.3097,986.61911,143.96428,1173.1765,341.54243
