__time,/mcu/state/jointURDF/0/effort,/mcu/state/jointURDF/0/position,/mcu/state/jointURDF/0/velocity,/mcu/state/jointURDF/1/effort,/mcu/state/jointURDF/1/position,/mcu/state/jointURDF/1/velocity,/mcu/state/jointURDF/10/effort,/mcu/state/jointURDF/10/position,/mcu/state/jointURDF/10/velocity,/mcu/state/jointURDF/11/effort,/mcu/state/jointURDF/11/position,/mcu/state/jointURDF/11/velocity,/mcu/state/jointURDF/2/effort,/mcu/state/jointURDF/2/position,/mcu/state/jointURDF/2/velocity,/mcu/state/jointURDF/3/effort,/mcu/state/jointURDF/3/position,/mcu/state/jointURDF/3/velocity,/mcu/state/jointURDF/4/effort,/mcu/state/jointURDF/4/position,/mcu/state/jointURDF/4/velocity,/mcu/state/jointURDF/5/effort,/mcu/state/jointURDF/5/position,/mcu/state/jointURDF/5/velocity,/mcu/state/jointURDF/6/effort,/mcu/state/jointURDF/6/position,/mcu/state/jointURDF/6/velocity,/mcu/state/jointURDF/7/effort,/mcu/state/jointURDF/7/position,/mcu/state/jointURDF/7/velocity,/mcu/state/jointURDF/8/effort,/mcu/state/jointURDF/8/position,/mcu/state/jointURDF/8/velocity,/mcu/state/jointURDF/9/effort,/mcu/state/jointURDF/9/position,/mcu/state/jointURDF/9/velocity,/mcu/state/jointURDF/header/stamp,/mcu/state/toe_array/header/stamp,/mcu/state/toe_array/toes.0/contact,/mcu/state/toe_array/toes.0/id,/mcu/state/toe_array/toes.0/position/x,/mcu/state/toe_array/toes.0/position/y,/mcu/state/toe_array/toes.0/position/z,/mcu/state/toe_array/toes.0/sphase,/mcu/state/toe_array/toes.0/valid,/mcu/state/toe_array/toes.1/contact,/mcu/state/toe_array/toes.1/id,/mcu/state/toe_array/toes.1/position/x,/mcu/state/toe_array/toes.1/position/y,/mcu/state/toe_array/toes.1/position/z,/mcu/state/toe_array/toes.1/sphase,/mcu/state/toe_array/toes.1/valid,/mcu/state/toe_array/toes.2/contact,/mcu/state/toe_array/toes.2/id,/mcu/state/toe_array/toes.2/position/x,/mcu/state/toe_array/toes.2/position/y,/mcu/state/toe_array/toes.2/position/z,/mcu/state/toe_array/toes.2/sphase,/mcu/state/toe_array/toes.2/valid,/mcu/state/toe_array/toes.3/contact,/mcu/state/toe_array/toes.3/id,/mcu/state/toe_array/toes.3/position/x,/mcu/state/toe_array/toes.3/position/y,/mcu/state/toe_array/toes.3/position/z,/mcu/state/toe_array/toes.3/sphase,/mcu/state/toe_array/toes.3/valid
1680727730.270370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.269749,1.000000,0.000000,0.266610,0.166180,-0.503325,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.271552,-10.450000,0.731341,0.000001,18.030000,1.628265,-0.001370,7.410000,0.107004,0.000000,10.420000,0.106928,-0.000000,-5.600000,0.681295,-0.000000,23.430000,1.646249,0.000000,-8.670000,0.712647,0.001389,18.450000,1.662186,-0.000154,-9.620000,0.757875,0.000000,25.830000,1.650932,-0.000000,-6.040000,-0.112163,-0.000000,-10.530000,-0.098625,-0.000000,1680727730.271232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680727730.280334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.279873,1.000000,0.000000,0.266610,0.166180,-0.503325,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.290797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.290182,1.000000,0.000000,0.266610,0.166180,-0.503325,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.300654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.300030,1.000000,0.000000,0.266598,0.166180,-0.503324,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.311367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.309933,1.000000,0.000000,0.266598,0.166180,-0.503324,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.312514,-10.830000,0.731317,-0.000350,18.260000,1.628265,-0.000025,6.830000,0.107004,0.000000,10.040000,0.106928,-0.000000,-6.160000,0.681295,-0.000000,23.320000,1.646249,0.000000,-8.600000,0.712647,0.000025,18.440000,1.662186,-0.000003,-9.380000,0.757875,0.000000,25.210000,1.650932,-0.000000,-6.140000,-0.112163,-0.000000,-10.880000,-0.098625,-0.000000,1680727730.312155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680727730.320403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.319856,1.000000,0.000000,0.266598,0.166189,-0.503323,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248138,-0.168132,-0.508967,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.330312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.329753,1.000000,0.000000,0.266598,0.166189,-0.503323,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.340621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.339889,1.000000,0.000000,0.266598,0.166189,-0.503323,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.350401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.349895,1.000000,0.000000,0.266598,0.166189,-0.503323,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.350798,-10.640000,0.731317,-0.000006,18.080000,1.628265,-0.000000,6.910000,0.107004,0.000000,10.280000,0.106928,-0.000000,-5.900000,0.681295,-0.000000,23.180000,1.646269,0.000156,-8.630000,0.712647,0.000000,18.390000,1.662186,-0.000090,-9.630000,0.757875,0.000000,25.630000,1.650932,-0.000000,-6.120000,-0.112144,0.000060,-10.880000,-0.098625,-0.000000,1680727730.350271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680727730.361151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.360589,1.000000,0.000000,0.266598,0.166180,-0.503324,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.371748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.370144,1.000000,0.000000,0.266598,0.166180,-0.503324,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.380541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.380058,1.000000,0.000000,0.266598,0.166180,-0.503324,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.390414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.389867,1.000000,0.000000,0.266598,0.166180,-0.503324,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.391674,-10.280000,0.731317,-0.000000,17.810000,1.628265,-0.000000,7.200000,0.107004,0.000000,9.670000,0.106928,-0.000000,-5.750000,0.681295,-0.000000,23.380000,1.646269,0.000003,-8.710000,0.712647,0.000000,18.420000,1.662186,-0.000002,-9.590000,0.757875,0.000000,25.350000,1.650932,-0.000000,-5.990000,-0.112163,-0.000051,-10.800000,-0.098625,-0.000000,1680727730.391153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680727730.400647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.400115,1.000000,0.000000,0.266598,0.166180,-0.503324,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248138,-0.168132,-0.508967,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.412616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.409892,1.000000,0.000000,0.266598,0.166180,-0.503324,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248138,-0.168132,-0.508967,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.420346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.419806,1.000000,0.000000,0.266598,0.166180,-0.503324,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248138,-0.168132,-0.508967,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.430304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.429772,1.000000,0.000000,0.266610,0.166180,-0.503325,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248138,-0.168132,-0.508967,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.430689,-10.810000,0.731341,0.000977,18.290000,1.628265,-0.000000,7.070000,0.107004,0.000000,9.700000,0.106928,-0.000000,-5.570000,0.681295,-0.000000,23.050000,1.646269,0.000000,-8.660000,0.712647,0.000000,18.350000,1.662207,0.000062,-9.490000,0.757875,0.000000,25.180000,1.650932,-0.000000,-6.120000,-0.112163,-0.000001,-11.020000,-0.098625,-0.000000,1680727730.430130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680727730.440392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.439871,1.000000,0.000000,0.266610,0.166180,-0.503325,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248138,-0.168132,-0.508967,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.450316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.449795,1.000000,0.000000,0.266610,0.166180,-0.503325,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248138,-0.168132,-0.508967,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.460480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.459934,1.000000,0.000000,0.266610,0.166180,-0.503325,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.470309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.469801,1.000000,0.000000,0.266610,0.166180,-0.503325,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.470639,-10.690000,0.731341,0.000018,18.020000,1.628265,-0.000000,7.000000,0.107004,0.000000,10.210000,0.106928,-0.000000,-5.600000,0.681295,-0.000000,23.230000,1.646249,-0.001297,-8.740000,0.712647,0.000000,18.450000,1.662186,0.000611,-9.430000,0.757875,0.000000,25.630000,1.650932,-0.000000,-6.510000,-0.112163,-0.000000,-10.710000,-0.098625,-0.000000,1680727730.470161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680727730.480395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.479802,1.000000,0.000000,0.266610,0.166180,-0.503325,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.490596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.489954,1.000000,0.000000,0.266610,0.166180,-0.503325,0.000000,1.000000,1.000000,1.000000,-0.377989,0.172902,-0.503247,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
